App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7M,"5,000,000+",Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25M,"50,000,000+",Free,0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,NaN,19M,"50,000+",Free,0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up
Floor Plan Creator,ART_AND_DESIGN,4.1,36639,Varies with device,"5,000,000+",Free,0,Everyone,Art & Design,"July 14, 2018",Varies with device,2.3.3 and up
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,NaN,11M,"10,000+",Free,0,Everyone,Art & Design,NaN,1.3,4.0.3 and up
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4M,"500,000+",Free,0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,NaN,"10,000+",Free,0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10M,"100,000+",Free,0,Everyone,Art & Design,"April 2, 2018",1,4.0.3 and up
Textgram - write on photos,ART_AND_DESIGN,4.4,295221,Varies with device,"10,000,000+",Free,0,Everyone,Art & Design,"July 30, 2018",Varies with device,Varies with device
Paint Splash!,ART_AND_DESIGN,NaN,2206,1.2M,"100,000+",Free,0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,NaN,12M,"10,000+",Free,0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,"10,000,000+",Free,0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25M,"100,000+",Free,0,Everyone,Auto & Vehicles,"May 10, 2018",1,4.0.3 and up
Real Tractor Farming,AUTO_AND_VEHICLES,4,NaN,56M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,"July 26, 2018",11,4.1 and up
Prom MakeUp Tutorial,BEAUTY,4.8,104,12M,"10,000+",Free,0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up
Selfie Camera,BEAUTY,4.2,17934,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,"September 12, 2017",Varies with device,Varies with device
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35M,"100,000+",Free,0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up
Colors of white in Urdu,BEAUTY,4.5,36,6.7M,"10,000+",Free,0,Everyone,Beauty,"July 26, 2018",6,4.0 and up
Wrinkles and rejuvenation,BEAUTY,NaN,182,5.7M,"100,000+",Free,0,Everyone 10+,Beauty,"September 20, 2017",8,3.0 and up
Photo Editor 2018,BEAUTY,4.5,134,17M,"10,000+",Free,0,Everyone,Beauty,"March 1, 2018",1.2,4.0.3 and up
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,NaN,2.9M,"10,000+",Free,0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up
Beauty Camera - Selfie Camera,BEAUTY,4,113715,Varies with device,"10,000,000+",Free,0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device
Girls Hairstyles,BEAUTY,4.1,3595,Varies with device,"500,000+",Free,0,Everyone,Beauty,"May 24, 2018",Varies with device,4.0 and up
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,NaN,2.6M,"1,000,000+",Free,0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2M,"50,000+",Free,0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1M,"10,000+",Free,0,Everyone,Beauty,"May 29, 2018",1,4.0 and up
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57M,"1,000,000+",Free,0,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up
Manicure - nail design,BEAUTY,NaN,119,3.7M,"50,000+",Free,0,Everyone,Beauty,"July 23, 2018",1.3,4.1 and up
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22M,"500,000+",Free,0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up
Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",Free,0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up
Skin Care and Natural Beauty,BEAUTY,NaN,654,7.4M,"100,000+",Free,0,Teen,Beauty,"July 17, 2018",1.15,4.1 and up
Facial Wrinkle Reduction,BEAUTY,4.6,184,21M,"10,000+",Free,0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up
"Secrets of beauty, youth and health",BEAUTY,NaN,77,2.9M,"10,000+",Free,0,Mature 17+,Beauty,"August 8, 2017",2,2.3 and up
Recipes and tips for losing weight,BEAUTY,NaN,35,3.1M,"10,000+",Free,0,Everyone 10+,Beauty,"December 11, 2017",2,3.0 and up
Discover Color,BEAUTY,4,364,6.4M,"100,000+",Free,0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2M,"5,000+",Free,0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000+",Free,0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
"Lady adviser (beauty, health)",BEAUTY,NaN,30,9.9M,"10,000+",Free,0,Mature 17+,Beauty,"January 24, 2018",3,3.0 and up
Step By Step Hairstyles For Women,BEAUTY,4.1,NaN,2.9M,"10,000+",Free,0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up
Rainbow Camera,BEAUTY,3.7,3871,23M,"1,000,000+",Free,0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up
Methods of teeth whitening,BEAUTY,4.7,257,4.6M,"50,000+",Free,0,Everyone,Beauty,"August 7, 2017",1,4.0.3 and up
Girls hairstyles 2018,BEAUTY,4.2,NaN,3.1M,"10,000+",Free,0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21M,"1,000,000+",Free,0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up
NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080,Varies with device,"500,000+",Free,0,Everyone,Books & Reference,"April 25, 2018",Varies with device,Varies with device
Anonymous caller detection,BOOKS_AND_REFERENCE,NaN,161,2.7M,"10,000+",Free,0,Everyone,Books & Reference,"July 13, 2018",1,2.3 and up
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15M,"100,000+",Free,0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up
Read books online,BOOKS_AND_REFERENCE,4.1,91615,NaN,"5,000,000+",Free,0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19M,"500,000+",Free,0,Everyone,Books & Reference,"November 23, 2017",2,4.0.3 and up
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23M,"1,000,000+",Free,0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73M,"500,000+",Free,0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up
Flybook,BOOKS_AND_REFERENCE,3.9,NaN,4.9M,"500,000+",Free,0,Mature 17+,Books & Reference,NaN,1.0.3,2.1 and up
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,Varies with device,"5,000,000+",Free,0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9M,"100,000+",Free,0,Everyone,Books & Reference,"March 31, 2018",14,4.0 and up
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,NaN,1322,3.5M,"100,000+",Free,0,Everyone,Books & Reference,"May 28, 2018",6,4.0.3 and up
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0M,"100,000+",Free,0,Everyone,Books & Reference,"August 20, 2016",3.05,4.0.3 and up
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21M,"50,000+",Free,0,Everyone,Books & Reference,"July 17, 2018",2,3.0 and up
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3M,"500,000+",Free,0,Everyone,Books & Reference,"June 16, 2018",1.5,3.0 and up
Moon+ Reader,BOOKS_AND_REFERENCE,4.4,233757,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"May 1, 2018",Varies with device,Varies with device
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,NaN,2,7.2M,"50,000+",Free,0,Everyone,Books & Reference,"June 15, 2018",3,6.0 and up
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up
Azpen eReader,BOOKS_AND_REFERENCE,3.5,NaN,42M,"500,000+",Free,0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up
English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30M,"10,000,000+",Free,0,Everyone 10+,Books & Reference,"March 20, 2018",3.9.1,4.2 and up
Visual Voicemail by MetroPCS,BUSINESS,4.1,16129,Varies with device,"10,000,000+",Free,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
Indeed Job Search,BUSINESS,4.3,674730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"May 21, 2018",Varies with device,Varies with device
Uber Driver,BUSINESS,4.4,1254730,Varies with device,"10,000,000+",Free,0,Everyone,Business,"August 3, 2018",Varies with device,Varies with device
ADP Mobile Solutions,BUSINESS,4.3,85185,29M,"5,000,000+",Free,0,Everyone,Business,"July 17, 2018",NaN,5.0 and up
Snag - Jobs Hiring Now,BUSINESS,4.3,32584,Varies with device,"1,000,000+",Free,0,Everyone,Business,"May 4, 2018",Varies with device,Varies with device
Docs To Go™ Free Office Suite,BUSINESS,NaN,217730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35M,"100,000,000+",Free,0,Everyone,Business,"August 2, 2018",9.7.14188,4.1 and up
USPS MOBILE®,BUSINESS,3.9,NaN,9.1M,"1,000,000+",Free,0,Everyone,Business,"June 14, 2018",4.9.10,4.0.3 and up
Easy Installer - Apps On SD,BUSINESS,4.1,23055,Varies with device,"5,000,000+",Free,0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device
Facebook Ads Manager,BUSINESS,NaN,19023,Varies with device,"1,000,000+",Free,0,Everyone,Business,NaN,99.0.0.35.75,4.1 and up
UPS Mobile,BUSINESS,3.9,23243,Varies with device,"5,000,000+",Free,0,Everyone,Business,"June 25, 2018",Varies with device,Varies with device
Y! Mobile menu,BUSINESS,NaN,9,1.2M,"100,000+",Free,0,Everyone,Business,"April 9, 2018",1.0.5,6.0 and up
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 25, 2018",Varies with device,Varies with device
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805,Varies with device,"5,000,000+",Free,0,Everyone,Business,"February 26, 2018",Varies with device,4.0.3 and up
Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up
Slack,BUSINESS,4.4,51507,Varies with device,"5,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",Free,0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up
Xero Accounting Software,BUSINESS,3.5,2111,Varies with device,"100,000+",Free,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
"MailChimp - Email, Marketing Automation",BUSINESS,4.1,5448,12M,"500,000+",Free,0,Everyone,Business,"July 25, 2018",4.9.1,5.0 and up
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up
Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",Free,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up
Google Analytics,BUSINESS,4.5,78662,22M,"1,000,000+",Free,0,Everyone,Business,"February 13, 2018",3.7.5,4.4 and up
AdWords Express,BUSINESS,NaN,7149,11M,"1,000,000+",Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
Invoice & Time Tracking - Zoho,BUSINESS,4.6,5800,8.6M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
join.me - Simple Meetings,BUSINESS,4,6989,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 16, 2018",4.3.0.508,4.4 and up
